iter	Logloss
0	0.6305593093
1	0.5798718179
2	0.536374414
3	0.5005164025
4	0.4707415299
5	0.4442253569
6	0.4188910379
7	0.3990632135
8	0.3821036924
9	0.3675598049
10	0.3548310707
11	0.3430594109
12	0.3312429983
13	0.3214807376
14	0.3137154978
15	0.306628437
16	0.3002888426
17	0.2955607922
18	0.2893009275
19	0.2856537357
20	0.2814640515
21	0.2778454888
22	0.2731507014
23	0.2704109434
24	0.2662476189
25	0.2633941222
26	0.2600867816
27	0.2581122166
28	0.2552815406
29	0.2527895574
30	0.2508688861
31	0.2489274095
32	0.2463517608
33	0.2450311892
34	0.2438526521
35	0.2427368799
36	0.2419628475
37	0.2408034969
38	0.2396567787
39	0.2390361752
40	0.2381571801
41	0.2368771716
42	0.2357780786
43	0.2341739299
44	0.2331033866
45	0.232174608
46	0.2315349133
47	0.2310499647
48	0.2301757305
49	0.2294534494
50	0.2288426852
51	0.2277846949
52	0.2259173302
53	0.2234089534
54	0.2227199195
55	0.2201776609
56	0.2189275669
57	0.217948735
58	0.2158420065
59	0.2127902328
60	0.2110057242
61	0.2105687816
62	0.2101837809
63	0.2083651364
64	0.2080785441
65	0.2075102316
66	0.2063826047
67	0.2057187244
68	0.2051365258
69	0.2045767988
70	0.2016475239
71	0.2005640943
72	0.1993441371
73	0.1983424845
74	0.1970333867
75	0.1963424167
76	0.1955022708
77	0.1952039983
78	0.1939775662
79	0.192778319
80	0.1922988931
81	0.1903156314
82	0.1898993831
83	0.1893839963
84	0.1887316215
85	0.1884701829
86	0.1881840191
87	0.1870466164
88	0.1861500852
89	0.1854471969
90	0.1851282938
91	0.18477754
92	0.1844181055
93	0.1838843573
94	0.1826394369
95	0.1814243517
96	0.1810753912
97	0.1806384804
98	0.1792539695
99	0.1783886541
