iter	Passed	Remaining
0	1	164
1	2	143
2	4	138
3	6	158
4	8	152
5	9	147
6	11	148
7	13	151
8	14	149
9	16	146
10	17	142
11	20	146
12	21	145
13	23	142
14	25	142
15	26	141
16	28	139
17	30	137
18	32	138
19	34	136
20	36	136
21	38	137
22	40	135
23	42	133
24	43	131
25	45	129
26	47	128
27	48	125
28	50	124
29	52	122
30	54	120
31	55	118
32	58	118
33	59	115
34	61	114
35	62	111
36	65	110
37	66	109
38	68	107
39	70	105
40	72	103
41	73	101
42	74	99
43	77	98
44	78	96
45	80	94
46	81	92
47	84	91
48	86	89
49	88	88
50	90	87
51	92	85
52	93	82
53	94	80
54	97	79
55	99	77
56	100	75
57	101	73
58	103	72
59	105	70
60	107	68
61	110	67
62	111	65
63	113	63
64	115	61
65	116	60
66	118	58
67	119	56
68	121	54
69	123	52
70	124	51
71	126	49
72	128	47
73	130	45
74	132	44
75	133	42
76	135	40
77	137	38
78	138	36
79	140	35
80	142	33
81	144	31
82	146	29
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	157	19
89	159	17
90	162	16
91	163	14
92	165	12
93	166	10
94	168	8
95	170	7
96	171	5
97	173	3
98	175	1
99	176	0
